Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2016-02-19 19:30:46,Running,,1.40,10:40,7:37,7.88,80.0,,,,
2016-02-14 08:00:51,Running,,3.60,26:00,7:13,8.31,224.0,,,,
2016-01-31 08:19:25,Running,,2.11,17:49,8:26,7.12,121.0,13.45,,,2016-01-31-0819.gpx
2015-12-06 09:49:42,Running,,2.80,19:53,7:06,8.46,168.0,19.91,,,2015-12-06-0949.gpx
2015-11-05 19:30:02,Running,,4.00,23:12,5:48,10.34,243.0,,,,
2015-10-28 19:38:23,Running,,3.60,21:15,5:54,10.16,219.0,,,,
2015-10-20 20:50:02,Running,,2.82,15:25,5:28,10.98,170.0,,,,
2015-10-11 08:46:37,Running,,3.10,19:01,6:08,9.79,193.0,24.21,,,2015-10-11-0846.gpx
2015-10-05 22:04:05,Running,,5.84,36:34,6:16,9.59,369.0,49.64,,,2015-10-05-2204.gpx
2015-10-03 08:09:14,Running,,7.93,54:24,6:52,8.75,488.0,58.55,,,2015-10-03-0809.gpx
2015-10-01 10:24:20,Running,,6.60,48:02,7:16,8.25,409.0,55.62,,,2015-10-01-1024.gpx
2015-09-27 07:55:46,Running,,8.79,59:45,6:48,8.83,543.0,67.91,,,2015-09-27-0755.gpx
2015-09-25 22:32:16,Running,,7.30,48:27,6:38,9.04,457.0,67.80,,,2015-09-25-2232.gpx
2015-09-23 21:29:10,Running,,6.26,39:43,6:21,9.46,395.0,53.08,,,2015-09-23-2129.gpx
2015-09-20 09:24:19,Running,,1.78,11:42,6:35,9.13,110.0,12.13,,,2015-09-20-0924.gpx
2015-09-18 22:02:45,Running,,6.86,45:35,6:38,9.04,427.0,51.77,,,2015-09-18-2202.gpx
2015-09-16 21:35:31,Running,,5.76,36:59,6:25,9.34,353.0,41.36,,,2015-09-16-2135.gpx
2015-09-14 21:28:01,Running,,4.26,27:25,6:26,9.32,274.0,55.04,,,2015-09-14-2128.gpx
2015-09-12 22:09:13,Running,,3.84,24:47,6:27,9.29,242.0,31.91,,,2015-09-12-2209.gpx
2015-09-10 07:12:21,Running,,7.39,53:48,7:17,8.24,458.0,56.36,,,2015-09-10-0712.gpx
2015-09-08 21:11:49,Running,,6.57,45:20,6:54,8.69,413.0,52.82,,,2015-09-08-2111.gpx
2015-09-06 07:45:41,Running,,5.95,43:30,7:19,8.21,368.0,51.36,,,2015-09-06-0745.gpx
2015-09-05 07:12:24,Running,,6.66,47:04,7:04,8.49,401.0,50.58,,,2015-09-05-0712.gpx
2015-08-23 06:08:30,Running,,5.11,34:26,6:45,8.90,312.0,43.36,,,2015-08-23-0608.gpx
2015-08-22 08:56:13,Running,,2.48,15:43,6:21,9.46,151.0,20.35,,,2015-08-22-0856.gpx
2015-08-16 07:55:14,Running,,3.72,23:33,6:20,9.47,232.0,31.85,,,2015-08-16-0755.gpx
2015-08-15 07:32:04,Running,,3.96,28:07,7:06,8.45,243.0,27.44,,,2015-08-15-0732.gpx
2015-08-08 00:17:37,Running,,2.81,18:11,6:28,9.29,177.0,21.27,,,2015-08-08-0017.gpx
2015-07-19 22:10:32,Running,,4.46,28:19,6:21,9.44,280.0,38.73,,,2015-07-19-2210.gpx
2015-07-18 07:19:10,Running,,3.91,28:10,7:12,8.33,238.0,43.80,,,2015-07-18-0719.gpx
2015-07-12 07:37:11,Running,,5.17,34:40,6:42,8.96,322.0,43.78,,,2015-07-12-0737.gpx
2015-07-11 07:23:54,Running,,6.09,44:11,7:15,8.27,373.0,48.00,,,2015-07-11-0723.gpx
2015-07-06 22:58:51,Running,,3.50,22:36,6:27,9.30,221.0,27.45,,,2015-07-06-2258.gpx
2015-07-05 06:07:11,Running,,4.15,29:43,7:10,8.38,249.0,30.35,,,2015-07-05-0607.gpx
